39392 21 39393 6 16
39404 21 39406 6 18
44307 21 44307 6 2
44319 21 44321 6 4
44333 21 44332 6 6
44347 21 44345 6 8
44359 21 44358 6 10
44372 21 44371 6 12
44385 21 44384 6 14
44398 21 44396 6 16
44412 21 44409 6 18
49311 21 49310 6 2
49324 21 49323 6 4
49337 21 49336 6 6
49350 21 49348 6 8
49364 21 49361 6 10
49376 21 49373 6 12
49388 21 49387 6 14
49402 21 49399 6 16
49412 21 49412 6 18
54314 21 54313 6 2
54327 21 54326 6 4
54338 21 54339 6 6
54352 22 54352 6 8
54364 21 54364 6 10
54377 21 54377 6 12
54390 21 54390 6 14
54403 22 54404 6 16
54417 21 54416 6 18
59316 21 59316 6 2
59329 21 59329 6 4
59343 21 59342 6 6
59355 21 59354 6 8
59368 21 59368 6 10
59381 21 59380 6 12
59396 21 59394 6 14
59408 22 59407 6 16
59421 21 59420 6 18
64320 21 64320 6 2
64332 21 64333 6 4
64346 21 64346 6 6
64360 21 64358 6 8
64373 21 64371 6 10
64385 21 64385 6 12
64403 21 64398 6 14
64413 21 64410 6 16
64426 21 64423 6 18
69323 21 69323 6 2
69336 21 69335 6 4
69349 21 69348 6 6
69363 21 69361 6 8
69379 21 69374 6 10
69390 23 69387 6 12
69402 21 69400 6 14
69414 21 69413 6 16
69429 21 69426 6 18
74326 21 74325 6 2
74338 21 74338 6 4
74352 21 74351 6 6
74365 21 74364 6 8
74378 21 74377 6 10
74392 21 74390 6 12
74404 22 74403 6 14
74417 21 74416 6 16
74429 21 74430 6 18
79328 21 79328 6 2
79341 21 79341 6 4
79354 21 79354 6 6
79367 21 79367 6 8
79383 21 79380 6 10
79391 21 79392 6 12
79411 21 79406 6 14
79423 21 79419 6 16
79433 21 79432 6 18
84332 21 84331 6 2
84346 21 84344 6 4
84359 21 84357 6 6
84372 21 84369 6 8
84384 21 84383 6 10
84395 21 84396 6 12
84409 21 84408 6 14
84419 21 84422 6 16
84434 21 84434 6 18
89334 21 89334 6 2
89347 21 89347 6 4
89359 22 89360 6 6
89373 21 89373 6 8
89386 21 89386 6 10
89400 21 89399 6 12
89415 21 89412 6 14
89426 21 89425 6 16
89438 21 89438 6 18
94337 21 94337 6 2
